Year,Barrington,Bristol,Burrillville,Central_Falls,Charlestown,Coventry,Cranston,Cumberland,East_Greenwich,East_Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little_Compton,Middletown,Narragansett,New_Shoreham,Newport,North_Kingstown,North_Providence,North_Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South_Kingstown,Tiverton,Warren,Warwick,West_Greenwich,West_Warwick,Westerly,Woonsocket,ObjectId
2019,236.5,466,91,162.5,217,488,1191,279.5,175,787,5,0,63,<5,6,592,40,9,197.5,81,0,279,312,1034.5,301.5,1244,92,7400,147.5,66,171,535,103,213,2052.5,16,585,285.5,1492.5,1
2020,167,170,324,195.5,228,597,1125.5,500.5,587,762.5,<5,0,112,64,<5,727,36,<5,302.5,723,0,334,496,821,425.5,1319.5,121,6342.5,127.5,54,220,1680.5,148,353.5,1648,<5,1008,800,1983,2
2021,200,282,122,427,392.5,512.5,1677.5,328,274.5,1282.5,100,<5,89,42,0,822,96,<5,740,311,185,294,408,702.5,385,2277,132,11089,285,72,212,1757.5,127,491,2454.5,25,825.5,889.5,2652.5,3
2022,284.5,353,193.5,496.5,517,750.5,2271,568,467,2267.5,24,45,114,208,<5,1459.5,276,43,715,312,139,1090,395.5,811,486,4250,265,20654,181,113,262,2494.5,186,424,3535.5,11,1154,1197.5,3064.5,4
